hour,time_days,external_temp_C,ground_temp_C,water_temp_C,sunlight_W,Q_walls_W,Q_ground_W,Q_sun_W,Q_total_W,T_internal_C
23410,975.4166666666666,20.75547909667684,15.672243186432713,17.712862471013455,2.0,26397.208917742944,-1057.8654137505875,75.0,25414.343503992357,18.015538885805057
23411,975.4583333333334,21.45977707533813,15.842073904691464,17.71188430754043,2.0,33064.68661951751,-985.3041247714955,75.0,32154.382494746016,18.0278987492442
23412,975.5,21.7,15.899999999999999,17.71090364282301,2.0,35252.17200725566,-964.6474329907053,75.0,34362.52457426496,18.041107403188388
23413,975.5416666666666,21.459777075338735,15.84207390469161,17.709920477365756,2.0,32819.22885264333,-996.8951859852061,75.0,31897.333666658127,18.05336845930592
23414,975.5833333333334,20.755479096681217,15.672243186433768,17.708934811674396,2.0,25940.262118802864,-1079.4434570353749,75.0,24935.81866176749,18.0629535699344
23415,975.625,19.635102807365573,15.40208152801723,17.70794664625607,2.0,15092.632679339258,-1206.2619923357838,75.0,13961.370687003475,18.068320198733534
23416,975.6666666666666,18.175000000004967,15.050000000001198,17.70695598161913,2.0,1024.1260922057563,-1368.3051567586595,75.0,-269.1790645529031,18.068216728655106
23417,975.7083333333334,16.474674267970897,14.639992376673833,17.70596281827324,2.0,-15298.007622568399,-1554.128372898177,75.0,-16777.135995466575,18.061767744295423
23418,975.75,14.65000000000321,14.200000000000774,17.704967156729335,2.0,-32752.97034520524,-1750.6680440802413,75.0,-34428.63838928549,18.048533676778913
23419,975.7916666666666,12.82532573202911,13.760007623326167,17.703968997499647,2.0,-50142.7962695981,-1944.131810898578,75.0,-52011.92808049668,18.028540746471933
23420,975.8333333333334,11.125000000000593,13.350000000000144,17.702968341097684,2.0,-66273.99116612485,-2120.938471733878,75.0,-68319.92963785873,18.00227916298067
23421,975.875,9.664897192638966,12.997918471983864,17.70196518803825,2.0,-80038.86691528036,-2268.6435132518855,75.0,-82232.51042853224,18.0
23422,975.9166666666666,8.544520903321992,12.727756813567005,17.700959538837424,2.0,-90772.59932810887,-2390.083577849625,75.0,-93087.6829059585,18.0
23423,975.9583333333334,7.840222924662924,12.55792609530879,17.69995139401255,2.0,-97533.85992323593,-2467.073503460015,75.0,-99925.93342669595,18.0
23424,976.0,14.600000000000001,14.900000000000002,17.698940754082322,0.0,-32639.999999999985,-1405.3333333333323,0.0,-34045.33333333332,18.0
