hour,time_days,external_temp_C,ground_temp_C,water_temp_C,sunlight_W,Q_walls_W,Q_ground_W,Q_sun_W,Q_total_W,Q_heat_demand_W
1626,67.75,8.39159992311072,5.735714285714287,8.664711059768756,0.0,-92240.6407381371,-5559.809523809524,0.0,-97800.45026194662,97800.45026194662
1627,67.79166666666667,7.325000000000001,5.735714285714287,8.664711059768756,0.0,-102479.99999999999,-5559.809523809524,0.0,-108039.80952380951,108039.80952380951
1628,67.83333333333333,6.082918082277982,5.735714285714287,8.664711059768756,0.0,-114403.98641013139,-5559.809523809524,0.0,-119963.79593394091,119963.79593394091
1629,67.875,4.75,5.735714285714287,8.664711059768756,0.0,-127200.0,-5559.809523809524,0.0,-132759.80952380953,132759.80952380953
1630,67.91666666666667,3.417081917722019,5.735714285714287,8.664711059768756,0.0,-139996.0135898686,-5559.809523809524,0.0,-145555.82311367814,145555.82311367814
1631,67.95833333333333,2.175000000000001,5.735714285714287,8.664711059768756,0.0,-151920.0,-5559.809523809524,0.0,-157479.80952380953,157479.80952380953
1632,68.0,6.971572875253809,5.957142857142856,8.713974822326195,0.0,-105872.90039756343,-5459.4285714285725,0.0,-111332.32896899199,111332.32896899199
1633,68.04166666666667,6.335898384862245,5.957142857142856,8.713974822326195,0.0,-111975.37550532244,-5459.4285714285725,0.0,-117434.80407675102,117434.80407675102
1634,68.08333333333333,5.936296694843728,5.957142857142856,8.713974822326195,0.0,-115811.5517295002,-5459.4285714285725,0.0,-121270.98030092879,121270.98030092879
1635,68.125,5.800000000000001,5.957142857142856,8.713974822326195,0.0,-117120.0,-5459.4285714285725,0.0,-122579.42857142858,122579.42857142858
1636,68.16666666666667,5.936296694843728,5.957142857142856,8.713974822326195,0.0,-115811.5517295002,-5459.4285714285725,0.0,-121270.98030092879,121270.98030092879
1637,68.20833333333333,6.335898384862245,5.957142857142856,8.713974822326195,0.0,-111975.37550532244,-5459.4285714285725,0.0,-117434.80407675102,117434.80407675102
1638,68.25,6.971572875253811,5.957142857142856,8.713974822326195,0.0,-105872.90039756341,-5459.4285714285725,0.0,-111332.32896899199,111332.32896899199
1639,68.29166666666667,7.800000000000002,5.957142857142856,8.713974822326195,0.0,-97920.0,-5459.4285714285725,0.0,-103379.42857142858,103379.42857142858
1640,68.33333333333333,8.764723819589918,5.957142857142856,8.713974822326195,0.0,-88658.6513319368,-5459.4285714285725,0.0,-94118.07990336537,94118.07990336537
1641,68.375,9.8,5.957142857142856,8.713974822326195,0.0,-78720.0,-5459.4285714285725,0.0,-84179.42857142858,84179.42857142858
1642,68.41666666666667,10.835276180410084,5.957142857142856,8.713974822326195,0.0,-68781.34866806319,-5459.4285714285725,0.0,-74240.77723949176,74240.77723949176
1643,68.45833333333333,11.8,5.957142857142856,8.713974822326195,0.0,-59519.99999999999,-5459.4285714285725,0.0,-64979.428571428565,64979.428571428565
1644,68.5,12.62842712474619,5.957142857142856,8.713974822326195,0.0,-51567.099602436574,-5459.4285714285725,0.0,-57026.52817386515,57026.52817386515
1645,68.54166666666667,13.264101615137756,5.957142857142856,8.713974822326195,0.0,-45464.62449467754,-5459.4285714285725,0.0,-50924.05306610611,50924.05306610611
1646,68.58333333333333,13.663703305156274,5.957142857142856,8.713974822326195,0.0,-41628.44827049977,-5459.4285714285725,0.0,-47087.876841928344,47087.876841928344
1647,68.625,13.8,5.957142857142856,8.713974822326195,0.0,-40319.99999999999,-5459.4285714285725,0.0,-45779.428571428565,45779.428571428565
1648,68.66666666666667,13.663703305156274,5.957142857142856,8.713974822326195,0.0,-41628.44827049977,-5459.4285714285725,0.0,-47087.876841928344,47087.876841928344
1649,68.70833333333333,13.264101615137756,5.957142857142856,8.713974822326195,0.0,-45464.62449467754,-5459.4285714285725,0.0,-50924.05306610611,50924.05306610611
1650,68.75,12.62842712474619,5.957142857142856,8.713974822326195,0.0,-51567.099602436574,-5459.4285714285725,0.0,-57026.52817386515,57026.52817386515
1651,68.79166666666667,11.8,5.957142857142856,8.713974822326195,0.0,-59519.99999999999,-5459.4285714285725,0.0,-64979.428571428565,64979.428571428565
1652,68.83333333333333,10.835276180410084,5.957142857142856,8.713974822326195,0.0,-68781.34866806319,-5459.4285714285725,0.0,-74240.77723949176,74240.77723949176
1653,68.875,9.8,5.957142857142856,8.713974822326195,0.0,-78720.0,-5459.4285714285725,0.0,-84179.42857142858,84179.42857142858
1654,68.91666666666667,8.764723819589918,5.957142857142856,8.713974822326195,0.0,-88658.6513319368,-5459.4285714285725,0.0,-94118.07990336537,94118.07990336537
